역명,위도,경도,자치구명
화서,37.283862,126.989627,수원시 팔달구
수원,37.266348,126.999561,수원시 팔달구
세류,37.245025,127.013222,수원시 권선구
병점,37.207503,127.032731,화성시
세마,37.187533,127.04318,오산시
오산대,37.168953,127.063197,오산시
오산,37.145885,127.06672,오산시
진위,37.109447,127.062278,평택시
송탄,37.075696,127.054301,평택시
서정리,37.056496,127.052819,평택시
평택지제,37.0188,127.070444,평택시
평택,36.990726,127.085159,평택시
성환,36.916076,127.126964,천안시 서북구
직산,36.870593,127.143904,천안시 서북구
두정,36.833705,127.14896,천안시 서북구
천안,36.810005,127.146826,천안시 동남구
구일,37.496756,126.870793,구로구
개봉,37.494594,126.85968,구로구
오류동,37.494526,126.845365,구로구
온수,37.492433,126.824086,구로구
역곡,37.485178,126.811502,부천시 원미구
소사,37.482753,126.79544,부천시 소사구
부천,37.48405,126.782686,부천시 소사구
중동,37.486562,126.764843,부천시 소사구
송내,37.4876,126.753664,부천시 소사구
부개,37.488418,126.74109,부평구
부평,37.489445,126.724506,부평구
백운,37.483664,126.707704,부평구
동암,37.471408,126.702896,부평구
간석,37.464737,126.694181,남동구
주안,37.465047,126.679742,미추홀구
도화,37.46607,126.668672,미추홀구
제물포,37.466769,126.656666,미추홀구
도원,37.468446,126.642706,미추홀구
동인천,37.475276,126.632802,중구
인천,37.476079,126.616801,중구
봉명,36.801215,127.135763,천안시 동남구
쌍용,36.793759,127.1214,천안시 서북구
아산,36.792053,127.104361,아산시
탕정,36.78866,127.08485,아산시
배방,36.777629,127.052991,아산시
온양온천,36.780483,127.003249,아산시
신창,36.769502,126.951108,아산시
광명,37.416182,126.884466,광명시
서동탄,37.195504,127.051672,오산시
충정로,37.559704,126.964378,서대문구
아현,37.557345,126.956141,마포구
이대,37.556733,126.946013,마포구
신촌,37.555131,126.936926,서대문구
홍대입구,37.55679,126.923708,마포구
합정,37.549457,126.913808,마포구
당산,37.534946,126.902767,영등포구
영등포구청,37.525706,126.89661,영등포구
문래,37.517933,126.89476,영등포구
대림,37.493243,126.894932,구로구
구로디지털단지,37.485266,126.901401,구로구
신대방,37.487462,126.913149,관악구
신림,37.484201,126.929715,관악구
봉천,37.482362,126.941892,관악구
서울대입구,37.481247,126.952739,관악구
낙성대,37.47693,126.963693,관악구
사당,37.476538,126.981544,동작구
방배,37.481426,126.997596,서초구
서초,37.491897,127.007917,서초구
교대,37.493961,127.014667,서초구
강남,37.49799,127.027912,강남구
역삼,37.500622,127.036456,강남구
선릉,37.504286,127.048203,강남구
삼성,37.508844,127.06316,강남구
종합운동장,37.511022,127.073704,송파구
잠실새내,37.511687,127.086162,송파구
잠실,37.513262,127.100159,송파구
잠실나루,37.520733,127.10379,송파구
강변,37.535095,127.094681,광진구
구의,37.537077,127.085916,광진구
건대입구,37.540373,127.069191,광진구
성수,37.544581,127.055961,성동구
뚝섬,37.547184,127.047367,성동구
한양대,37.555273,127.043655,성동구
왕십리,37.561238,127.036954,성동구
상왕십리,37.564354,127.029354,성동구
신당,37.56564,127.019614,중구
동대문역사문화공원,37.565613,127.009054,중구
을지로4가,37.566595,126.997817,중구
을지로3가,37.566306,126.991696,중구
을지로입구,37.566014,126.982618,중구
용답,37.561904,127.050899,성동구
신답,37.57004,127.046481,성동구
용두,37.574028,127.038091,동대문구
도림천,37.514287,126.882768,구로구
양천구청,37.512398,126.865819,양천구
신정네거리,37.520074,126.852912,양천구
까치산,37.531768,126.846683,강서구
대화,37.676087,126.747569,고양시 일산서구
주엽,37.670072,126.761334,고양시 일산서구
정발산,37.659477,126.773359,고양시 일산동구
마두,37.652206,126.77762,고양시 일산동구
백석,37.643114,126.78787,고양시 일산동구
대곡,37.631626,126.811024,고양시 덕양구
화정,37.634592,126.83265,고양시 덕양구
원당,37.653324,126.843041,고양시 덕양구
원흥,37.650658,126.872642,고양시 덕양구
삼송,37.653083,126.895558,고양시 덕양구
지축,37.648017,126.91397,고양시 덕양구
구파발,37.636763,126.918821,은평구
연신내,37.619229,126.921038,은평구
불광,37.610553,126.92982,은평구
녹번,37.600927,126.935756,은평구
홍제,37.589066,126.943736,서대문구
무악재,37.582299,126.950291,서대문구
독립문,37.574571,126.957748,종로구
경복궁,37.575762,126.97353,종로구
안국,37.576477,126.985443,종로구
충무로,37.56143,126.994072,중구
동대입구,37.559052,127.005602,중구
약수,37.554867,127.010541,중구
금호,37.548034,127.015872,성동구
옥수,37.541684,127.017269,성동구
압구정,37.527072,127.028461,강남구
신사,37.516334,127.020114,강남구
잠원,37.512759,127.01122,서초구
고속터미널,37.504891,127.004916,서초구
남부터미널,37.485013,127.016189,서초구
양재,37.484477,127.033902,서초구
매봉,37.486947,127.046769,강남구
도곡,37.490922,127.055452,강남구
대치,37.494612,127.063642,강남구
학여울,37.496663,127.070594,강남구
